Section Name,Chapter Number,Chapter Description,Tariff Rate URL
SECTION I,Chapter 1,Live animals.,https://www.customs.go.jp/english/tariff/2024_04_01/data/e_01.htm
SECTION I,Chapter 2,Meat and edible meat offal.,https://www.customs.go.jp/english/tariff/2024_04_01/data/e_02.htm
SECTION I,Chapter 3,"Fish and crustaceans, molluscs and other aquatic invertebrates.",https://www.customs.go.jp/english/tariff/2024_04_01/data/e_03.htm
SECTION I,Chapter 4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included.",https://www.customs.go.jp/english/tariff/2024_04_01/data/e_04.htm
SECTION I,Chapter 5,"Products of animal origin, not elsewhere specified or included.",https://www.customs.go.jp/english/tariff/2024_04_01/data/e_05.htm
SECTION II,Chapter 6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage.",https://www.customs.go.jp/english/tariff/2024_04_01/data/e_06.htm
SECTION II,Chapter 7,Edible vegetables and certain roots and tubers.,https://www.customs.go.jp/english/tariff/2024_04_01/data/e_07.htm
SECTION II,Chapter 8,Edible fruit and nuts; peel of citrus fruit or melons.,https://www.customs.go.jp/english/tariff/2024_04_01/data/e_08.htm
SECTION II,Chapter 9,"Coffee, tea, mate and spices.",https://www.customs.go.jp/english/tariff/2024_04_01/data/e_09.htm
SECTION II,Chapter 10,Cereals.,https://www.customs.go.jp/english/tariff/2024_04_01/data/e_10.htm
SECTION II,Chapter 11,Products of the milling industry; malt; starches; inulin; wheat gluten.,https://www.customs.go.jp/english/tariff/2024_04_01/data/e_11.htm
SECTION II,Chapter 12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder.",https://www.customs.go.jp/english/tariff/2024_04_01/data/e_12.htm
SECTION II,Chapter 13,"Lac; gums, resins and other vegetable saps and extracts.",https://www.customs.go.jp/english/tariff/2024_04_01/data/e_13.htm
SECTION II,Chapter 14,Vegetable plaiting materials; vegetable products not elsewhere specified or included.,https://www.customs.go.jp/english/tariff/2024_04_01/data/e_14.htm
SECTION III,Chapter 15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes.",https://www.customs.go.jp/english/tariff/2024_04_01/data/e_15.htm
SECTION IV,Chapter 16,"Preparations of meat, of fish, crustaceans, molluscs or other aquatic invertebrates, or of insects.",https://www.customs.go.jp/english/tariff/2024_04_01/data/e_16.htm
SECTION IV,Chapter 17,Sugars and sugar confectionery.,https://www.customs.go.jp/english/tariff/2024_04_01/data/e_17.htm
SECTION IV,Chapter 18,Cocoa and cocoa preparations.,https://www.customs.go.jp/english/tariff/2024_04_01/data/e_18.htm
SECTION IV,Chapter 19,"Preparations of cereals, flour, starch or milk; pastrycooks' products.",https://www.customs.go.jp/english/tariff/2024_04_01/data/e_19.htm
SECTION IV,Chapter 20,"Preparations of vegetables, fruit, nuts or other parts of plants.",https://www.customs.go.jp/english/tariff/2024_04_01/data/e_20.htm
SECTION IV,Chapter 21,Miscellaneous edible preparations.,https://www.customs.go.jp/english/tariff/2024_04_01/data/e_21.htm
SECTION IV,Chapter 22,"Beverages, spirits and vinegar.",https://www.customs.go.jp/english/tariff/2024_04_01/data/e_22.htm
SECTION IV,Chapter 23,Residues and waste from the food industries; prepared animal fodder.,https://www.customs.go.jp/english/tariff/2024_04_01/data/e_23.htm
SECTION IV,Chapter 24,"Tobacco and manufactured tobacco substitutes; products, whether or not containing nicotine, intended for inhalation without combustion; other nicotine containing products intended for the intake of nicotine into the human body.",https://www.customs.go.jp/english/tariff/2024_04_01/data/e_24.htm
SECTION V,Chapter 25,"Salt; sulphur; earths and stone; plastering materials, lime and cement.",https://www.customs.go.jp/english/tariff/2024_04_01/data/e_25.htm
SECTION V,Chapter 26,"Ores, slag and ash.",https://www.customs.go.jp/english/tariff/2024_04_01/data/e_26.htm
SECTION V,Chapter 27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes.",https://www.customs.go.jp/english/tariff/2024_04_01/data/e_27.htm
SECTION VI,Chapter 28,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes.",https://www.customs.go.jp/english/tariff/2024_04_01/data/e_28.htm
SECTION VI,Chapter 29,Organic chemicals.,https://www.customs.go.jp/english/tariff/2024_04_01/data/e_29.htm
SECTION VI,Chapter 30,Pharmaceutical products.,https://www.customs.go.jp/english/tariff/2024_04_01/data/e_30.htm
SECTION VI,Chapter 31,Fertilisers.,https://www.customs.go.jp/english/tariff/2024_04_01/data/e_31.htm
SECTION VI,Chapter 32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints and varnishes; putty and other mastics; inks.",https://www.customs.go.jp/english/tariff/2024_04_01/data/e_32.htm
SECTION VI,Chapter 33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations.",https://www.customs.go.jp/english/tariff/2024_04_01/data/e_33.htm
SECTION VI,Chapter 34,"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial waxes, prepared waxes, polishing or scouring preparations, candles and similar articles, modelling pastes, ""dental waxes"" and dental preparations with a basis of plaster.",https://www.customs.go.jp/english/tariff/2024_04_01/data/e_34.htm
SECTION VI,Chapter 35,Albuminoidal substances; modified starches; glues; enzymes.,https://www.customs.go.jp/english/tariff/2024_04_01/data/e_35.htm
SECTION VI,Chapter 36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations.,https://www.customs.go.jp/english/tariff/2024_04_01/data/e_36.htm
SECTION VI,Chapter 37,Photographic or cinematographic goods.,https://www.customs.go.jp/english/tariff/2024_04_01/data/e_37.htm
SECTION VI,Chapter 38,Miscellaneous chemical products.,https://www.customs.go.jp/english/tariff/2024_04_01/data/e_38.htm
SECTION VII,Chapter 39,Plastics and articles thereof.,https://www.customs.go.jp/english/tariff/2024_04_01/data/e_39.htm
SECTION VII,Chapter 40,Rubber and articles thereof.,https://www.customs.go.jp/english/tariff/2024_04_01/data/e_40.htm
SECTION VIII,Chapter 41,Raw hides and skins (other than furskins) and leather.,https://www.customs.go.jp/english/tariff/2024_04_01/data/e_41.htm
SECTION VIII,Chapter 42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut).",https://www.customs.go.jp/english/tariff/2024_04_01/data/e_42.htm
SECTION VIII,Chapter 43,Furskins and artificial fur; manufactures thereof.,https://www.customs.go.jp/english/tariff/2024_04_01/data/e_43.htm
SECTION IX,Chapter 44,Wood and articles of wood; wood charcoal.,https://www.customs.go.jp/english/tariff/2024_04_01/data/e_44.htm
SECTION IX,Chapter 45,Cork and articles of cork.,https://www.customs.go.jp/english/tariff/2024_04_01/data/e_45.htm
SECTION IX,Chapter 46,"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork.",https://www.customs.go.jp/english/tariff/2024_04_01/data/e_46.htm
SECTION X,Chapter 47,Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard.,https://www.customs.go.jp/english/tariff/2024_04_01/data/e_47.htm
SECTION X,Chapter 48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard.",https://www.customs.go.jp/english/tariff/2024_04_01/data/e_48.htm
SECTION X,Chapter 49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans.",https://www.customs.go.jp/english/tariff/2024_04_01/data/e_49.htm
SECTION XI,Chapter 50,Silk.,https://www.customs.go.jp/english/tariff/2024_04_01/data/e_50.htm
SECTION XI,Chapter 51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric.",https://www.customs.go.jp/english/tariff/2024_04_01/data/e_51.htm
SECTION XI,Chapter 52,Cotton.,https://www.customs.go.jp/english/tariff/2024_04_01/data/e_52.htm
SECTION XI,Chapter 53,Other vegetable textile fibres; paper yarn and woven fabrics of paper yarn.,https://www.customs.go.jp/english/tariff/2024_04_01/data/e_53.htm
SECTION XI,Chapter 54,Man-made filaments; strip and the like of man-made textile materials.,https://www.customs.go.jp/english/tariff/2024_04_01/data/e_54.htm
SECTION XI,Chapter 55,Man-made staple fibres.,https://www.customs.go.jp/english/tariff/2024_04_01/data/e_55.htm
SECTION XI,Chapter 56,"Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof.",https://www.customs.go.jp/english/tariff/2024_04_01/data/e_56.htm
SECTION XI,Chapter 57,Carpets and other textile floor coverings.,https://www.customs.go.jp/english/tariff/2024_04_01/data/e_57.htm
SECTION XI,Chapter 58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery.,https://www.customs.go.jp/english/tariff/2024_04_01/data/e_58.htm
SECTION XI,Chapter 59,"Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable for industrial use.",https://www.customs.go.jp/english/tariff/2024_04_01/data/e_59.htm
SECTION XI,Chapter 60,Knitted or crocheted fabrics.,https://www.customs.go.jp/english/tariff/2024_04_01/data/e_60.htm
SECTION XI,Chapter 61,"Articles of apparel and clothing accessories, knitted or crocheted.",https://www.customs.go.jp/english/tariff/2024_04_01/data/e_61.htm
SECTION XI,Chapter 62,"Articles of apparel and clothing accessories, not knitted or crocheted.",https://www.customs.go.jp/english/tariff/2024_04_01/data/e_62.htm
SECTION XI,Chapter 63,Other made up textile articles; sets; worn clothing and worn textile articles; rags.,https://www.customs.go.jp/english/tariff/2024_04_01/data/e_63.htm
SECTION XII,Chapter 64,"Footwear, gaiters and the like; parts of such articles.",https://www.customs.go.jp/english/tariff/2024_04_01/data/e_64.htm
SECTION XII,Chapter 65,Headgear and parts thereof.,https://www.customs.go.jp/english/tariff/2024_04_01/data/e_65.htm
SECTION XII,Chapter 66,"Umbrellas, sun umbrellas, walking-sticks, seat-sticks, whips, riding-crops and parts thereof.",https://www.customs.go.jp/english/tariff/2024_04_01/data/e_66.htm
SECTION XII,Chapter 67,Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles of human hair.,https://www.customs.go.jp/english/tariff/2024_04_01/data/e_67.htm
SECTION XIII,Chapter 68,"Articles of stone, plaster, cement, asbestos, mica or similar materials.",https://www.customs.go.jp/english/tariff/2024_04_01/data/e_68.htm
SECTION XIII,Chapter 69,Ceramic products.,https://www.customs.go.jp/english/tariff/2024_04_01/data/e_69.htm
SECTION XIII,Chapter 70,Glass and glassware.,https://www.customs.go.jp/english/tariff/2024_04_01/data/e_70.htm
SECTION XIV,Chapter 71,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal and articles thereof; imitation jewellery; coin.",https://www.customs.go.jp/english/tariff/2024_04_01/data/e_71.htm
SECTION XV,Chapter 72,Iron and steel.,https://www.customs.go.jp/english/tariff/2024_04_01/data/e_72.htm
SECTION XV,Chapter 73,Articles of iron or steel.,https://www.customs.go.jp/english/tariff/2024_04_01/data/e_73.htm
SECTION XV,Chapter 74,Copper and articles thereof.,https://www.customs.go.jp/english/tariff/2024_04_01/data/e_74.htm
SECTION XV,Chapter 75,Nickel and articles thereof.,https://www.customs.go.jp/english/tariff/2024_04_01/data/e_75.htm
SECTION XV,Chapter 76,Aluminium and articles thereof.,https://www.customs.go.jp/english/tariff/2024_04_01/data/e_76.htm
SECTION XV,Chapter 78,Lead and articles thereof.,https://www.customs.go.jp/english/tariff/2024_04_01/data/e_78.htm
SECTION XV,Chapter 79,Zinc and articles thereof.,https://www.customs.go.jp/english/tariff/2024_04_01/data/e_79.htm
SECTION XV,Chapter 80,Tin and articles thereof.,https://www.customs.go.jp/english/tariff/2024_04_01/data/e_80.htm
SECTION XV,Chapter 81,Other base metals; cermets; articles thereof.,https://www.customs.go.jp/english/tariff/2024_04_01/data/e_81.htm
SECTION XV,Chapter 82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal.",https://www.customs.go.jp/english/tariff/2024_04_01/data/e_82.htm
SECTION XV,Chapter 83,Miscellaneous articles of base metal.,https://www.customs.go.jp/english/tariff/2024_04_01/data/e_83.htm
SECTION XVI,Chapter 84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof.",https://www.customs.go.jp/english/tariff/2024_04_01/data/e_84.htm
SECTION XVI,Chapter 85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles.",https://www.customs.go.jp/english/tariff/2024_04_01/data/e_85.htm
SECTION XVII,Chapter 86,"Railway or tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds.",https://www.customs.go.jp/english/tariff/2024_04_01/data/e_86.htm
SECTION XVII,Chapter 87,"Vehicles other than railway or tramway rolling-stock, and parts and accessories thereof.",https://www.customs.go.jp/english/tariff/2024_04_01/data/e_87.htm
SECTION XVII,Chapter 88,"Aircraft, spacecraft, and parts thereof.",https://www.customs.go.jp/english/tariff/2024_04_01/data/e_88.htm
SECTION XVII,Chapter 89,"Ships, boats and floating structures.",https://www.customs.go.jp/english/tariff/2024_04_01/data/e_89.htm
SECTION XVIII,Chapter 90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; parts and accessories thereof.",https://www.customs.go.jp/english/tariff/2024_04_01/data/e_90.htm
SECTION XVIII,Chapter 91,Clocks and watches and parts thereof.,https://www.customs.go.jp/english/tariff/2024_04_01/data/e_91.htm
SECTION XVIII,Chapter 92,Musical instruments; parts and accessories of such articles.,https://www.customs.go.jp/english/tariff/2024_04_01/data/e_92.htm
SECTION XIX,Chapter 93,Arms and ammunition; parts and accessories thereof.,https://www.customs.go.jp/english/tariff/2024_04_01/data/e_93.htm
SECTION XX,Chapter 94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; luminaires and lighting fittings, not elsewhere specified or included; illuminated signs, illuminated name-plates and the like; prefabricated buildings.",https://www.customs.go.jp/english/tariff/2024_04_01/data/e_94.htm
SECTION XX,Chapter 95,"Toys, games and sports requisites; parts and accessories thereof.",https://www.customs.go.jp/english/tariff/2024_04_01/data/e_95.htm
SECTION XX,Chapter 96,Miscellaneous manufactured articles.,https://www.customs.go.jp/english/tariff/2024_04_01/data/e_96.htm
SECTION XXI,Chapter 97,"Works of art, collectors' pieces and antiques.",https://www.customs.go.jp/english/tariff/2024_04_01/data/e_97.htm
